,annotation_index,index,sentence,label,gender,A1,A2,A3,keep,agreement,correct,incorrect,
133,133,394,"Ana is a vivid , vibrant individual and the movie 's focus upon her makes it successful and accessible .",0.86,femm,1,1,1,True,3,3,0,
135,135,1354,"If you 're not a prepubescent girl , you 'll be laughing at Britney Spears ' movie-starring debut whenever it does n't have you impatiently squinting at your watch .",0.29,femm,1,0,1,True,2,2,1,
136,136,602,"Like Dickens with his passages , McGrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .",0.9,masc,1,0,1,True,2,2,1,
140,140,4680,Zellweger 's whiny pouty-lipped poof faced and spindly attempt at playing an ingenue makes her nomination as best actress even more of a an a,0.36,femm,1,1,1,True,3,3,0,
143,143,3053,"As Schmidt , Nicholson walks with a slow , deliberate gait , chooses his words carefully and subdues his natural exuberance .",0.56,masc,1,1,1,True,3,3,0,
144,144,1615,"Beers , who , when she 's given the right lines , can charm the paint off the wall ... ( but ) the script goes wrong at several key junctures .",0.4,femm,0,1,1,True,2,2,1,
145,145,4729,"Nohe has made a decent ` intro ' documentary , but he feels like a spectator and not a participant .",0.32,masc,1,1,1,True,3,3,0,
146,146,7622,"Ultimately , the film never recovers from the clumsy clich̩ of the ugly American abroad , and the too-frosty exterior Ms. Paltrow employs to authenticate her British persona is another liability .",0.35,femm,0,1,1,True,2,2,1,
147,147,960,"There ought to be a directing license , so that Ed Burns can have his revoked .",0.17,masc,1,1,1,True,3,3,0,
148,148,4589,"None of this so-called satire has any sting to it , as if Woody is afraid of biting the hand that has finally , to some extent , warmed up to him .",0.38,masc,1,1,1,True,3,3,0,
150,150,5702,"Fincher takes no apparent joy in making movies , and he gives none to the audience .",0.24,masc,1,1,1,True,3,3,0,
152,152,7303,May puzzle his most ardent fans .,0.28,masc,1,1,1,True,3,3,0,
153,153,1288,"( Director ) Byler may yet have a great movie in him , but Charlotte Sometimes is only half of one .",0.32,masc,1,1,1,True,3,3,0,
154,154,1933,"Kwan makes the mix-and - match metaphors intriguing , while lulling us into torpor with his cultivated allergy to action .",0.36,masc,1,1,1,True,3,3,0,
155,155,2172,Birot 's directorial debut ( she co-wrote the script with Christophe Honor̩ ) is n't so much bad as it is bland .,0.28,femm,1,1,1,True,3,3,0,
156,156,1998,"Nair 's cast is so large it 's Altman-esque , but she deftly spins the multiple stories in a vibrant and intoxicating fashion .",0.89,femm,1,1,1,True,3,3,0,
162,162,6002,"Seagal , who looks more like Danny Aiello these days , mumbles his way through the movie .",0.19,masc,1,1,1,True,3,3,0,
163,163,1534,"Ramsay succeeds primarily with her typical blend of unsettling atmospherics , delivering a series of abrasive , stylized sequences that burn themselves upon the viewer 's memory .",0.72,femm,1,1,1,True,3,3,0,
166,166,1199,"Might have been better off as a documentary , with less of Mr. Eyre 's uninspired dramatics and more of his sense of observation and outrage .",0.39,masc,0,1,1,True,2,2,1,
168,168,7168,Michele is a such a brainless flibbertigibbet that it 's hard to take her spiritual quest at all seriously .,0.25,femm,1,1,1,True,3,3,0,
171,171,1375,"Witherspoon puts to rest her valley-girl image , but it 's Dench who really steals the show .",0.58,femm,1,0,1,True,2,2,1,
175,175,2222,"Insomnia is one of the year 's best films and Pacino gives one of his most daring , and complicated , performances .",0.94,masc,1,1,1,True,3,3,0,
179,179,1258,Cho continues her exploration of the outer limits of raunch with considerable brio .,0.71,femm,1,1,1,True,3,3,0,
180,180,5732,Is there a group of more self-absorbed women than the mother and daughters featured in this film ?,0.12,femm,1,0,1,True,2,2,1,
181,181,622,"A memorable experience that , like many of his works , presents weighty issues colorfully wrapped up in his own idiosyncratic strain of kitschy goodwill .",0.72,masc,1,1,1,True,3,3,0,
182,182,184,"Britney has been delivered to the big screen safe and sound , the way we like our 20-year-old superstar girls to travel on the fame freeway .",0.76,femm,1,1,1,True,3,3,0,
183,183,2077,"Unfortunately , as a writer , Mr. Montias is n't nearly as good to his crew as he is as a director or actor .",0.31,masc,1,1,1,True,3,3,0,
185,185,8299,The movie is obviously a labour of love so Howard appears to have had free rein to be as pretentious as he wanted .,0.43,masc,0,1,1,True,2,2,1,
187,187,7968,Does anyone much think the central story of Brendan Behan is that he was a bisexual sweetheart before he took to drink ?,0.5,masc,0,1,1,True,2,2,1,
190,190,6043,Kurys seems intimidated by both her subject matter and the period trappings of this debut venture into the heritage business .,0.31,femm,1,1,1,True,3,3,0,
192,192,1435,"That ` Alabama ' manages to be pleasant in spite of its predictability and occasional slowness is due primarily to the perkiness of Witherspoon ( who is always a joy to watch , even when her material is not first-rate ) ...",0.67,femm,0,1,1,True,2,2,1,
196,196,4083,"While the ensemble player who gained notice in Guy Ritchie 's Lock , Stock and Two Smoking Barrels and Snatch has the bod , he 's unlikely to become a household name on the basis of his first starring vehicle .",0.39,masc,1,1,1,True,3,3,0,
199,199,7620,"Davis the performer is plenty fetching enough , but she needs to shake up the mix , and work in something that does n't feel like a half-baked stand-up routine .",0.43,femm,1,1,1,True,3,3,0,
200,200,998,"Ratliff 's two previous titles , Plutonium Circus and Purgatory County show his penchant for wry , contentious configurations , and this film is part of that delicate canon .",0.64,masc,1,1,1,True,3,3,0,
202,202,36,"Ms. Fulford-Wierzbicki is almost spooky in her sulky , calculating Lolita turn .",0.62,femm,1,1,1,True,3,3,0,
203,203,2039,cynical and serious look at teenage boys doing what they do best - being teenagers .,0.54,masc,0,1,1,True,2,2,1,
204,204,577,"We need ( Moore 's ) noisy , cocky energy , his passion and class consciousness ; we need his shticks , we need his stones .",0.61,masc,1,1,1,True,3,3,0,
206,206,829,A dream cast of solid female talent who build a seamless ensemble .,0.93,femm,1,1,1,True,3,3,0,
207,207,170,"For the first time in years , De Niro digs deep emotionally , perhaps because he 's been stirred by the powerful work of his co-stars .",0.65,masc,1,1,1,True,3,3,0,
208,208,1092,"Unlike his directorial efforts , La Femme Nikita and The Professional , The Transporter lacks Besson 's perspective as a storyteller .",0.33,masc,1,0,1,True,2,2,1,
210,210,1930,"She may not be real , but the laughs are .",0.82,femm,1,0,1,True,2,2,1,
212,212,4900,Howard conjures the past via surrealist flourishes so overwrought you 'd swear he just stepped out of a Bu̱uel retrospective .,0.68,masc,1,0,1,True,2,2,1,
213,213,2517,"Though Jackson does n't always succeed in integrating the characters in the foreground into the extraordinarily rich landscape , it must be said that he is an imaginative filmmaker who can see the forest for the trees .",0.65,masc,1,1,1,True,3,3,0,
214,214,3590,Connoisseurs of Chinese film will be pleased to discover that Tian 's meticulous talent has not withered during his enforced hiatus .,0.72,masc,1,0,1,True,2,2,1,
216,216,519,"A depressing confirmation of everything those of us who do n't object to the description `` unelected '' have suspected all along : George W. Bush is an incurious , uncharismatic , overgrown frat boy with a mean streak a mile wide .",0.17,masc,0,1,1,True,2,2,1,
217,217,4407,"Brown 's saga , like many before his , makes for snappy prose but a stumblebum of a movie .",0.4,masc,0,1,1,True,2,2,1,
221,221,2731,"This film is so different from The Apple and so striking that it can only encourage us to see Samira Makhmalbaf as a very distinctive sensibility , working to develop her own film language with conspicuous success .",0.78,femm,1,0,1,True,2,2,1,
222,222,3541,"Works because we 're never sure if Ohlinger 's on the level or merely a dying , delusional man trying to get into the history books before he croaks .",0.49,masc,1,0,1,True,2,2,1,
223,223,149,"Unfortunately , it appears that ( Jackie ) Chan 's US influence is starting to show in his Hong Kong films .",0.42,masc,0,1,1,True,2,2,1,
224,224,1987,"Chicago offers much colorful eye candy , including the spectacle of Gere in his dancing shoes , hoofing and crooning with the best of them .",0.74,masc,1,0,1,True,2,2,1,
226,226,1004,"If you 're part of her targeted audience , you 'll cheer .",0.68,femm,0,1,1,True,2,2,1,
229,229,5145,"Howard and his co-stars all give committed performances , but they 're often undone by Howard 's self-conscious attempts to find a ` literary ' filmmaking style to match his subject .",0.33,masc,1,1,1,True,3,3,0,
231,231,1822,Naomi Watts is terrific as Rachel , her petite frame and vulnerable persona emphasising her plight and isolation .,0.78,femm,1,1,1,True,3,3,0
232,232,1694,"Lanie 's professional success means she must be a failure at life , because she 's driven by ambition and Does n't Know How to Have Fun .",0.35,femm,1,1,1,True,3,3,0,
234,234,8020,What a great shame that such a talented director as Chen Kaige has chosen to make his English-language debut with a film so poorly plotted and scripted .,0.17,masc,0,1,1,True,2,2,1,
237,237,7658,"... feels as if ( there 's ) a choke leash around your neck so director Nick Cassavetes can give it a good , hard yank whenever he wants you to feel something .",0.19,masc,0,1,1,True,2,2,1,
238,238,8542,"Her fans walked out muttering words like `` horrible '' and `` terrible , '' but had so much fun dissing the film that they did n't mind the ticket cost .",0.14,femm,1,0,1,True,2,2,1,
241,241,6563,"She 's a cipher , played by an actress who smiles and frowns but does n't reveal an inner life .",0.44,femm,1,1,1,True,3,3,0,
242,242,6489,"Scherfig , who has had a successful career in TV , tackles more than she can handle .",0.36,femm,1,0,1,True,2,2,1,
244,244,7452,The film 's hero is a bore and his innocence soon becomes a questionable kind of inexcusable dumb innocence .,0.21,masc,1,1,1,True,3,3,0,
245,245,311,"Asia authors herself as Anna Battista , an Italian superstar and aspiring directress who just happens to be her own worst enemy .",0.56,femm,1,1,1,True,3,3,0,
247,247,7087,"Even by the intentionally low standards of frat-boy humor , Sorority Boys is a bowser .",0.07,masc,0,1,1,True,2,2,1,
248,248,369,He allows his cast members to make creative contributions to the story and dialogue .,0.75,masc,1,1,1,True,3,3,0,
251,251,6943,"If there was any doubt that Peter O'Fallon did n't have an original bone in his body , A Rumor of Angels should dispel it .",0.18,masc,1,1,1,True,3,3,0,
253,253,2191,"Swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it succeeds .",0.86,femm,1,0,1,True,2,2,1,
254,254,402,"The movie is hardly a masterpiece , but it does mark Ms. Bullock 's best work in some time .",0.62,femm,1,1,1,True,3,3,0,
255,255,470,"Hardly an objective documentary , but it 's great cinematic polemic ... love Moore or loathe him , you 've got to admire ... the intensity with which he 's willing to express his convictions .",0.85,masc,1,1,1,True,3,3,0,
256,256,293,A superbly acted and funny\/gritty fable of the humanizing of one woman at the hands of the unseen forces of fate .,0.72,femm,0,1,1,True,2,2,1,
259,259,3714,"He has improved upon the first and taken it a step further , richer and deeper .",0.75,masc,1,1,1,True,3,3,0,
263,263,594,Jacquot 's strategy allows his cast the benefit of being able to give full performances ... while demonstrating vividly that the beauty and power of the opera reside primarily in the music itself .,0.71,masc,0,1,1,True,2,2,1,
264,264,880,This is her Blue Lagoon .,0.42,femm,0,1,1,True,2,2,1,
265,265,2244,"The trick when watching Godard is to catch the pitch of his poetics , savor the pleasure of his sounds and images , and ponder the historical , philosophical , and ethical issues that intersect with them .",0.79,masc,1,1,1,True,3,3,0,
266,266,4762,It 's easy to love Robin Tunney -- she 's pretty and she can act -- but it gets harder and harder to understand her choices .,0.39,femm,1,1,1,True,3,3,0,
267,267,2879,"Lovely and Amazing is Holofcener 's deep , uncompromising curtsy to women she knows , and very likely is .",0.76,femm,1,0,1,True,2,2,1,
268,268,8117,"The histrionic muse still eludes Madonna and , playing a charmless witch , she is merely a charmless witch .",0.24,femm,1,1,1,True,3,3,0,
269,269,1345,"Writer\/director Walter Hill is in his hypermasculine element here , once again able to inject some real vitality and even art into a pulpy concept that , in many other hands would be completely forgettable .",0.76,masc,1,1,1,True,3,3,0,
275,275,1143,"She lists ingredients , but never mixes and stirs .",0.36,femm,1,1,1,True,3,3,0,
276,276,8186,It collapses when Mr. Taylor tries to shift the tone to a thriller 's rush .,0.25,masc,1,1,1,True,3,3,0,
277,277,1010,"Contrived as this may sound , Mr. Rose 's updating works surprisingly well .",0.78,masc,1,1,1,True,3,3,0,
278,278,687,"The film benefits greatly from a less manic tone than its predecessor , as Cho appears to have settled comfortably into her skin .",0.81,femm,1,0,1,True,2,2,1,
282,282,420,"Call it magic realism or surrealism , but Miss Wonton floats beyond reality with a certain degree of wit and dignity .",0.81,femm,1,1,1,True,3,3,0,
285,285,4894,"No matter how firmly director John Stainton has his tongue in his cheek , the fact remains that a wacky concept does not a movie make .",0.43,masc,1,0,1,True,2,2,1,
286,286,5130,You get the impression that writer and director Burr Steers knows the territory ... but his sense of humor has yet to lose the smug self-satisfaction usually associated with the better private schools .,0.32,masc,1,1,1,True,3,3,0,
291,291,7445,"When one hears Harry Shearer is going to make his debut as a film director , one would hope for the best",0.61,masc,1,1,1,True,3,3,0,
292,292,1058,"Lux , now in her eighties , does a great combination act as narrator , Jewish grandmother and subject -- taking us through a film that is part biography , part entertainment and part history .",0.83,femm,1,1,1,True,3,3,0,
294,294,806,Hawke draws out the best from his large cast in beautifully articulated portrayals that are subtle and so expressive they can sustain the poetic flights in Burdette 's dialogue .,0.96,masc,1,0,1,True,2,2,1,
295,295,7893,Maybe he was reading the minds of the audience .,0.62,masc,1,1,1,True,3,3,0,
296,296,936,"Novak manages to capture a cruelly hilarious vein of black comedy in the situation with his cast of non-actors and a gritty , no-budget approach .",0.85,masc,1,1,1,True,3,3,0,
298,298,2373,... fuses the events of her life with the imagery in her paintings so vividly that the artist 's work may take on a striking new significance for anyone who sees the film .,0.85,femm,1,1,1,True,3,3,0,
301,301,1382,The film runs on a little longer than it needs to -- Muccino either does n't notice when his story ends or just ca n't tear himself away from the characters -- but it 's smooth and professional .,0.35,masc,1,1,1,True,3,3,0,
303,303,821,"In his U.S. debut , Mr. Schnitzler proves himself a deft pace master and stylist .",0.86,masc,1,1,1,True,3,3,0,
305,305,5785,"Eastwood winces , clutches his chest and gasps for breath .",0.49,masc,1,1,1,True,3,3,0,
308,308,1447,"( Davis ) has a bright , chipper style that keeps things moving , while never quite managing to connect her wish-fulfilling characters to the human race .",0.67,femm,1,1,1,True,3,3,0,
309,309,4472,"LaBute ca n't avoid a fatal mistake in the modern era : He 's changed the male academic from a lower-class Brit to an American , a choice that upsets the novel 's exquisite balance and shreds the fabric of the film .",0.58,masc,1,1,1,True,3,3,0,
310,310,770,A worthy tribute to a great humanitarian and her vibrant ` co-stars . ',0.78,femm,0,1,1,True,2,2,1,
311,311,1404,"Whatever Eyre 's failings as a dramatist , he deserves credit for bringing audiences into this hard and bitter place .",0.64,masc,1,0,1,True,2,2,1,
313,313,7597,Poor Ben Bratt could n't find stardom if MapQuest emailed him point-to-point driving directions .,0.07,masc,1,1,1,True,3,3,0,
317,317,4282,"Imagine Kevin Smith , the blasphemous bad boy of suburban Jersey , if he were stripped of most of his budget and all of his sense of humor .",0.1,masc,0,1,1,True,2,2,1,
318,318,721,Maintains your sympathy for this otherwise challenging soul by letting you share her one-room world for a while .,0.72,femm,0,1,1,True,2,2,1,
320,320,491,Blanchett 's performance confirms her power once again .,0.89,femm,1,1,1,True,3,3,0,
321,321,5058,"The photographer 's show-don ` t-tell stance is admirable , but it can make him a problematic documentary subject .",0.47,masc,1,1,1,True,3,3,0,
322,322,4950,Could n't someone take Rob Schneider and have him switch bodies with a funny person ?,0.28,masc,1,1,1,True,3,3,0,
323,323,5781,"Godard uses his characters -- if that 's not too glorified a term -- as art things , mouthpieces , visual motifs , blanks .",0.35,masc,1,1,1,True,3,3,0,
324,324,898,"There 's a solid woman - finding-herself story somewhere in here , but you 'd have to dig pretty deep to uncover it .",0.42,femm,0,1,1,True,2,2,1,
325,325,4195,"J. Lo will earn her share of the holiday box office pie , although this movie makes one thing perfectly clear : She 's a pretty woman , but she 's no working girl .",0.62,femm,1,1,1,True,3,3,0,
326,326,8436,... the maudlin way its story unfolds suggests a director fighting against the urge to sensationalize his material .,0.31,masc,1,0,1,True,2,2,1,
327,327,4834,Wildly incompetent but brilliantly named Half Past Dead -- or for Seagal pessimists : Totally Past His Prime .,0.39,masc,1,0,1,True,2,2,1,
328,328,6336,... another example of how Sandler is losing his touch .,0.21,masc,1,1,1,True,3,3,0,
